Vdrive (V),Vdrive error,Vresistor (mV)
12.5,0.1,63.5
13.3,0.1,68
13.6,0.1,70
14.2,0.1,72
14.6,0.1,74
15.3,0.1,77
16.1,0.1,80.5
17.1,0.1,84
17.3,0.1,84.5
17.5,0.1,87.5
17.5,,82.5
17.8,0.1,89.5
17.8,,81
18.1,0.1,92.5
18.1,,77
18.5,0.1,94
18.5,,75
18.9,0.1,96.5
18.9,,73
19.3,0.1,100
19.3,,70.5
19.9,0.1,105.5
19.9,,69.5
20.7,0.1,71.5
20.7,,112
21.1,0.1,115
21.1,,72.5
21.2,0.1,117
21.2,,114
21.2,,76.5
21.2,,70.5
21.3,0.1,119
21.3,,112.5
21.3,,73
21.3,,75
21.4,0.1,120.5
21.4,,112
21.4,,77.5
21.4,,73.5
21.5,0.1,121
21.5,,112
21.5,,74
21.5,,79
21.6,0.1,122
21.6,,120.5
21.6,,114.5
21.6,,112
21.6,,80
21.6,,79
21.6,,73
21.6,,73.5
21.7,,CHAOS
22.3,0.1,76.5
22.3,,81
22.3,,137
22.5,0.1,77.5
22.5,,81.5
22.5,,140
22.6,0.1,82.5
22.6,,72.5
22.6,,81
22.6,,83.5
22.6,,141
22.6,,138
22.7,0.1,CHAOS
