Frequency (kHz),Freq error,V drive (mV),Vd tot error,Vresistor (mV),Vr tot error,Vr difference,Diff error,DELTA,DELTA ERROR,ALPHA,ALPHA ERR
80,0.1,7884.24061,23.79898987,89,6,,,4.747706422,1.258301434,4.666666667,9.778989824
,,9347.951647,46.01219331,117.5,7,44.5,9.899494937,5.891891892,9.648282024,6.363636364,17.60959807
,,,,73,,,,,,#DIV/0!,#DIV/0!
,,9656.250204,59.56854249,123,7,9.5,9.899494937,,,8.777777778,28.98967331
,,,,113.5,,,,,,,
,,,,79.5,,5,,,,,
,,,,74.5,,,,,,,
,,9708.576106,49.254834,124.5,7,2,9.899494937,,,,
,,,,122.5,,,,,,,
,,,,116,,4,,,,,
,,,,112,,,,,,,
,,,,83.5,,5,,,,,
,,,,78.5,,,,,,,
,,,,75,,0.5,,,,,
,,,,75.5,,,,,,,
,,,,,,,,,,,
79.6,0.1,7854.542125,22.79898987,87,6,,,4.764976959,1.266868276,4.466666667,9.410995408
,,9316.838949,45.01219331,117,7,43,9.899494937,4.34,5.486277344,6.090909091,16.92106731
,,,,74,,,,,,#DIV/0!,#DIV/0!
,,9623.723292,60.56854249,123,7,9.5,9.899494937,,,8.444444444,27.95729101
,,,,113.5,,,,,,,
,,,,80,,5,,,,,
,,,,75,,,,,,,
,,9694.43397,48.254834,125,7,2,9.899494937,,,,
,,,,123,,,,,,,
,,,,116.5,,4,,,,,
,,,,112.5,,,,,,,
,,,,84,,5,,,,,
,,,,79,,,,,,,
,,,,75,,0.5,,,,,
,,,,75.5,,,,,,,
,,,,,,,,,,,
80,0.1,7855.956339,21.79898987,87,6,,,4.933333333,1.351438088,4.4,9.288425294
,,9321.08159,45.01219331,117,7,42.5,9.899494937,5.12195122,7.724520182,4.714285714,10.57142857
,,,,74.5,,,,,,36.5,518.1418725
,,9618.066438,60.56854249,123,7,9.5,9.899494937,,,6.636363636,18.29855836
,,,,113.5,,,,,,,
,,,,81,,6,,,,,
,,,,75,,,,,,,
,,9676.049194,48.254834,124,7,2,9.899494937,,,,
,,,,122,,,,,,,
,,,,115,,2.5,,,,,
,,,,112.5,,,,,,,
,,,,83.5,,5,,,,,
,,,,78.5,,,,,,,
,,,,75,,0.5,,,,,
,,,,74.5,,,,,,,
,,,,,,,,,,,
80,0.1,7831.914708,22.79898987,86.5,6,,,4.938388626,1.347657981,6.8,20.58333306
,,9305.52524,46.01219331,116,7,42,9.899494937,6.205882353,10.92689684,7.555555556,25.20613991
,,,,74,,,,,,19,136.6345491
,,9603.924302,59.56854249,121.5,7,8,9.899494937,,,10.85714286,45.56045546
,,,,113.5,,,,,,,
,,,,79,,4,,,,,
,,,,75,,,,,,,
,,9652.007563,48.254834,123.5,7,3,9.899494937,,,,
,,,,120.5,,,,,,,
,,,,115.5,,3.5,,,,,
,,,,112,,,,,,,
,,,,83,,2,,,,,
,,,,81,,,,,,,
,,,,74.5,,0.5,,,,,
,,,,75,,,,,,,
,,,,,,,,,,,
80,0.1,7823.429427,21.79898987,86.5,6,,,4.947368421,1.335623916,4.714285714,10.57142857
,,9285.726251,44.01219331,115.5,7,42.5,9.899494937,3.8,4.429884742,5.076923077,12.15579918
,,,,73,,,,,,37.5,532.13814
,,9581.296885,59.56854249,121.5,7,9.5,9.899494937,,,9.375,34.69515681
,,,,112,,,,,,,
,,,,79,,5,,,,,
,,,,74,,,,,,,
,,9659.078631,49.254834,123,7,2.5,9.899494937,,,,
,,,,120.5,,,,,,,
,,,,114.5,,3,,,,,
,,,,111.5,,,,,,,
,,,,83.5,,4,,,,,
,,,,79.5,,,,,,,
,,,,74,,1,,,,,
,,,,75,,,,,,,
,,,,,,,,,,,
120,0.1,6040.106125,37.35533906,48,7,,,3.959910913,0.513624498,6.538461538,26.18414802
,,8554.577839,44.42640687,71,6,25.75,8.485281374,7.877192982,10.87821271,7.727272727,36.09917355
,,,,45.25,,,,,,29.66666667,482.8655207
,,9189.559728,59.98275606,75.25,6,4.5,8.485281374,,,7.416666667,31.85557687
,,,,70.75,,,,,,,
,,,,50.25,,3.5,,,,,
,,,,46.75,,,,,,,
,,9270.169901,88.2670273,76,6,1.25,8.485281374,,,,
,,,,74.75,,,,,,,
,,,,72,,1.75,,,,,
,,,,70.25,,,,,,,
,,,,52,,2.75,,,,,
,,,,49.25,,,,,,,
,,,,47,,0.5,,,,,
,,,,47.5,,,,,,,
,,,,,,,,,,,
120,0.1,6055.662474,37.35533906,48,7,,,4.002257336,0.52556325,7.909090909,36.88829621
,,8563.06312,44.42640687,71.25,6,26,8.485281374,5.273809524,5.052756239,14.5,120.1998336
,,,,45.25,,,,,,22.25,273.1977306
,,9189.559728,59.98275606,75,6,4.25,8.485281374,,,6.846153846,27.31209168
,,,,70.75,,,,,,,
,,,,50.5,,3.75,,,,,
,,,,46.75,,,,,,,
,,9308.353668,88.2670273,76.5,6,1.5,8.485281374,,,,
,,,,75,,,,,,,
,,,,72.5,,2.75,,,,,
,,,,69.75,,,,,,,
,,,,52.5,,2.75,,,,,
