V drive (mV),Frequency (kHz),Freq error,DELTA,DELTA ERROR
10443.96716,24.15,0.22,4.958188153,1.876232418
,38.38,0.69,,
,,,,
,41.25,0.7,,
,,,,
,,,,
,,,,
,,,,
,24.14,0.22,4.283076923,1.453848818
,38.06,0.69,,
,,,,
,41.31,0.7,,
,,,,
,,,,
,,,,
,,,,
,24.13,0.22,4.815068493,1.796177384
,38.19,0.69,,
,,,,
,41.11,0.7,,
,,,,
,,,,
,,,,
,,,,
,24.07,0.22,4.728187919,1.731510497
,38.16,0.69,,
,,,,
,41.14,0.7,,
,,,,
,,,,
,,,,
,,,,
,24.15,0.22,4.537459283,1.620030996
,38.08,0.69,,
,,,,
,41.15,0.7,,
